course_id,course_name,instructor_id,category_id,price,creation_date,status
C0001, Complete Web Development Bootcamp ,INST025,CAT002,3310,23-Feb-2023,Active
C0002,Vue.js Essential Training,INST007,CAT002,1299,06-May-2023,Active
C0003,web development for beginners,INST013,CAT002,2199,2023-11-11,active
C0004,Modern JavaScript Fundamentals,INST038,CAT002,2799,05/05/2023,inactive
C0005,Complete Web Development Bootcamp,INST006,CAT002,1037,2023-03-08,Active
C0006,advanced web development workshop,INST001,CAT002,3499,2024-04-22,Active
C0007,MODERN JAVASCRIPT FUNDAMENTALS,INST027,CAT002,1891,07/11/2024,inactive
C0008,Web Development for Beginners,INST042,CAT002,3699,05/02/2022,Active
C0009,react js - the complete guide,INST022,CAT002,2499,2022-01-11,Inactive
C0010,Advanced Web Development Workshop,INST040,CAT002,1093,12-21-2022,active
C0011,Full Stack Web Development,INST017,CAT002,2499,14-Mar-2024,Active
C0012,React JS - The Complete Guide,INST035,CAT002,3199,09-Jul-2024,inactive
C0013,Complete Web Development Bootcamp,INST008,CAT002,2699,2024-01-08,Inactive
C0014,FULL STACK WEB DEVELOPMENT,INST013,CAT002,2099,2022-09-10,Inactive
C0015,iOS App Development with Swift,INST033,CAT003,1199,30/01/2022,Inactive
C0016,Kotlin for Android Developers,INST007,CAT003,3666,07-08-2023,Active
C0017,Flutter Complete Course,INST030,CAT003,999,27/08/2022,active
C0018,iOS App Development with Swift,INST002,CAT003,3173,2024-01-23,Active
C0019,Swift Programming Fundamentals,INST001,CAT003,1499,04-May-2022,Active
C0020,React Native - Build Mobile Apps,INST026,CAT003,2400,2023-08-16,Active
C0021,cross-platform app development,INST013,CAT003,2807,11/07/2024,Active
C0022,Flutter Complete Course,INST014,CAT003,2599,2024-08-26,INACTIVE
C0023,Swift Programming Fundamentals,INST032,CAT003,2284,06-Jul-2024,Removed
C0024,Data Analysis with Python & Pandas,INST021,CAT004,3699,2024-04-20,Active
C0025,Statistics for Data Science,INST031,CAT004,2483,2022-01-18,Active
C0026,Statistics for Data Science,INST029,CAT004,3199,2023-05-12,Active
C0027, Advanced Machine Learning ,INST027,CAT004,3507,2022-06-12,Active
C0028,SQL for Data Analytics,INST040,CAT004,3911,06-May-2023,Active
C0029,Big Data Analytics Course,INST038,CAT004,1899,06/05/2022,Removed
C0030,PYTHON FOR DATA SCIENCE,INST026,CAT004,1099,2024-05-24,Active
C0031,Data Analysis with Python & Pandas,INST023,CAT004,2199,2024-12-28,active
C0032,machine learning a-z,INST036,CAT004,2915,07/10/2023,Active
C0033,Data Analysis with Python & Pandas,INST021,CAT004,2999,2023-01-04,Active
C0034,Deep Learning Specialization,INST013,CAT004,3199,2024-06-30,Active
C0035,Big Data Analytics Course,INST010,CAT004,3899,05/10/2024,active
C0036,Machine Learning A-Z,INST029,CAT004,1611,2022-08-16,ACTIVE
C0037,sql for data analytics,INST012,CAT004,2999,2024-08-28,active
C0038,MongoDB Complete Guide,INST017,CAT005,3271,2024-09-16,Active
C0039,Database Design & Optimization,INST027,CAT005,899,04-May-2022,Active
C0040,DATABASE DESIGN & OPTIMIZATION,INST042,CAT005,1999,09-06-2023,active
C0041,Oracle Database 12c Training,INST033,CAT005,1174,2024-05-06,ACTIVE
C0042,MongoDB Complete Guide,INST019,CAT005,2799,2024-11-10,ACTIVE
C0043,Oracle Database 12c Training,INST018,CAT005,1077,2023-06-25,active
C0044,MongoDB Complete Guide,INST040,CAT005,1499,2022-01-15,Active
C0045,NoSQL Database Essentials,INST016,CAT005,1699,17/01/2022,Active
C0046,Facebook Ads Mastery,INST041,CAT007,799,01-02-2025,Inactive
C0047,Digital Marketing Masterclass,INST042,CAT007,3299,2023-08-26,Active
C0048,Facebook Ads Mastery,INST001,CAT007,3499,2022-11-11,Inactive
C0049,Content Marketing Excellence,INST035,CAT007,1254,26-Sep-2022,Removed
C0050,sales funnel optimization,INST043,CAT007,1399,08/08/2024,active
C0051,Social Media Marketing Strategy,INST026,CAT007,3899,2023-11-13,ACTIVE
C0052,Digital Marketing Masterclass,INST002,CAT007,2099,16/08/2022,Removed
C0053,marketing analytics & metrics,INST044,CAT007,2799,23/04/2024,Active
C0054,Marketing Analytics & Metrics,INST012,CAT007,3199,12-26-2023,removed
