enrollment_id,student_id,course_id,enrollment_timestamp,discount_percentage,price,final_price
E00001,S0520,C0001,21/04/2023 14:45:05,0,3310,3310.0
E00002,S0277,C0001,2024-12-14 21:35:39,12,3310,2912.8
E00003,S0399,C0002,2024-10-17 20:46:53,22,1299,1013.22
E00004,S0283,C0002,2022-06-02 02:45,21,1299,1026.21
E00005,S1056,C0002,02-27-2022 16:24:49,0,1299,1299.0
E00006,S0542,C0003,12-02-2022 12:39:40,0,2199,2199.0
E00007,S1100,C0003,2023-03-15 02:52:08,0,2199,2199.0
E00008,S0228,C0003,11/10/2024 09:36:37,0,2199,2199.0
E00009,S0191,C0004,16/12/2022 10:55:13,13,2799,2435.13
E00010,S0922,C0004,2023-05-26 00:48:45,0,2799,2799.0
E00011,S0500,C0004,2025-02-09 03:42:21,0,2799,2799.0
E00012,S1194,C0005,01/02/2025 12:14:01,0,1037,1037.0
E00013,S0036,C0006,2022-05-23 20:35:53,6,3499,3289.06
E00014,S1011,C0006,29/11/2023 07:56:25,50,3499,1749.5
E00015,S0350,C0007,11-06-2022 14:59:18,0,1891,1891.0
E00016,S0475,c0008,2024-01-07 01:19:35,25,3699,2774.25
E00017,S0471,c0008,2025-01-10 08:46:42,26,3699,2737.26
E00018,S1284,C0009,2023-02-26 03:39,0,2499,2499.0
E00019,S0104,C0009,06/06/2024 08:52:08,26,2499,1849.26
E00020,S0442,C0010,2024-05-18 07:54:43,0,1093,1093.0
E00021,S1271,C0011,2024-02-09 21:26:21,0,2499,2499.0
E00022,S1398,C0011,2024-06-25 08:04:50,18,2499,2049.18
E00023,S0068,C0012,17/07/2024 00:13:11,0,3199,3199.0
E00024,S1293,C0013,11/10/2024 10:31:29,0,2699,2699.0
E00025,S0289,C0013,2023-08-09 15:27:47,13,2699,2348.13
E00026,S0079,C0014,2023-04-04 14:48:23,11,2099,1868.11
E00027,S0830,C0014,28/12/2023 21:48:48,0,2099,2099.0
